column_name,dtype,missing_rate_train_processed,missing_rate_test_processed,role,source
age,int64,0.0,0.0,feature,structured
age_group,object,0.0,0.0,feature,structured
altered_mental_status_flag,int64,0.0,0.0,feature,structured
arrival_day,object,0.0,0.0,feature,structured
arrival_hour,int64,0.0,0.0,feature,structured
arrival_mode,object,0.0,0.0,feature,structured
arrival_month,int64,0.0,0.0,feature,structured
arrival_season,object,0.0,0.0,feature,structured
bmi,float64,0.0,0.0,feature,structured
bp_inconsistent,int64,0.0,0.0,feature,invalid_indicator
chief_complaint_char_len,int64,0.0,0.0,feature,complaint
chief_complaint_missing,int64,0.0,0.0,feature,complaint
chief_complaint_raw,object,0.0,0.0,feature,complaint
chief_complaint_raw_clean,object,0.0,0.0,feature,complaint
chief_complaint_system,object,0.0,0.0,feature,complaint
chief_complaint_word_count,int64,0.0,0.0,feature,complaint
comorbidity_count,int64,0.0,0.0,feature,history
complaint_redflag_bleeding,int64,0.0,0.0,feature,complaint
complaint_redflag_chest_pain,int64,0.0,0.0,feature,complaint
complaint_redflag_pregnancy,int64,0.0,0.0,feature,complaint
complaint_redflag_severe_headache,int64,0.0,0.0,feature,complaint
complaint_redflag_shortness_of_breath,int64,0.0,0.0,feature,complaint
complaint_redflag_stroke_like,int64,0.0,0.0,feature,complaint
complaint_redflag_syncope,int64,0.0,0.0,feature,complaint
complaint_redflag_trauma,int64,0.0,0.0,feature,complaint
diastolic_bp,float64,0.051825,0.0481,feature,clinical
diastolic_bp_invalid,int64,0.0,0.0,feature,invalid_indicator
diastolic_bp_missing,int64,0.0,0.0,feature,missing_indicator
disposition,not_in_processed_outputs,,,excluded_post_triage_outcome,outcome
ed_los_hours,not_in_processed_outputs,,,excluded_post_triage_outcome,outcome
fever,int64,0.0,0.0,feature,structured
gcs_total,int64,0.0,0.0,feature,clinical
gcs_total_invalid,int64,0.0,0.0,feature,invalid_indicator
gcs_total_missing,int64,0.0,0.0,feature,missing_indicator
heart_rate,float64,0.0,0.0,feature,clinical
heart_rate_invalid,int64,0.0,0.0,feature,invalid_indicator
heart_rate_missing,int64,0.0,0.0,feature,missing_indicator
height_cm,float64,0.0,0.0,feature,structured
high_news2,int64,0.0,0.0,feature,structured
high_risk_history_flag,int64,0.0,0.0,feature,history
hx_anxiety,int64,0.0,0.0,feature,history
hx_asthma,int64,0.0,0.0,feature,history
hx_atrial_fibrillation,int64,0.0,0.0,feature,history
hx_ckd,int64,0.0,0.0,feature,history
hx_coagulopathy,int64,0.0,0.0,feature,history
hx_copd,int64,0.0,0.0,feature,history
hx_coronary_artery_disease,int64,0.0,0.0,feature,history
hx_dementia,int64,0.0,0.0,feature,history
hx_depression,int64,0.0,0.0,feature,history
hx_diabetes_type1,int64,0.0,0.0,feature,history
hx_diabetes_type2,int64,0.0,0.0,feature,history
hx_epilepsy,int64,0.0,0.0,feature,history
hx_heart_failure,int64,0.0,0.0,feature,history
hx_hiv,int64,0.0,0.0,feature,history
hx_hypertension,int64,0.0,0.0,feature,history
hx_hyperthyroidism,int64,0.0,0.0,feature,history
hx_hypothyroidism,int64,0.0,0.0,feature,history
hx_immunosuppressed,int64,0.0,0.0,feature,history
hx_liver_disease,int64,0.0,0.0,feature,history
hx_malignancy,int64,0.0,0.0,feature,history
hx_obesity,int64,0.0,0.0,feature,history
