feature,importance
numeric__chief_complaint_char_len,832
numeric__pain_score_clean,832
numeric__respiratory_rate,739
numeric__spo2,731
numeric__temperature_c,651
numeric__num_prior_ed_visits_12m,460
numeric__heart_rate,443
numeric__news2_score,414
numeric__diastolic_bp,393
numeric__gcs_total,373
numeric__mean_arterial_pressure,323
numeric__chief_complaint_word_count,298
numeric__systolic_bp,291
numeric__shock_index,227
numeric__age,218
numeric__pulse_pressure,211
numeric__height_cm,190
numeric__weight_kg,167
numeric__altered_mental_status_flag,160
numeric__complaint_redflag_trauma,152
numeric__bmi,141
categorical__mental_status_triage_unresponsive,109
numeric__arrival_hour,109
numeric__num_comorbidities,104
numeric__missing_vital_count,103
numeric__complaint_redflag_bleeding,102
numeric__num_active_medications,96
numeric__pain_score_invalid,92
numeric__arrival_month,92
categorical__mental_status_triage_confused,73
numeric__complaint_redflag_pregnancy,69
numeric__complaint_redflag_syncope,68
categorical__chief_complaint_system_gastrointestinal,67
numeric__temperature_c_missing,65
categorical__chief_complaint_system_trauma,59
numeric__complaint_redflag_chest_pain,58
categorical__chief_complaint_system_ENT,57
categorical__chief_complaint_system_genitourinary,57
categorical__chief_complaint_system_other,56
categorical__chief_complaint_system_ophthalmic,56
categorical__chief_complaint_system_musculoskeletal,52
numeric__complaint_redflag_stroke_like,52
categorical__chief_complaint_system_neurological,45
categorical__chief_complaint_system_dermatological,41
categorical__chief_complaint_system_infectious,39
categorical__chief_complaint_system_respiratory,38
categorical__chief_complaint_system_cardiovascular,36
numeric__num_prior_admissions_12m,32
categorical__mental_status_triage_agitated,30
categorical__triage_nurse_id_NURSE-0025,29
categorical__mental_status_triage_alert,29
numeric__hx_asthma,26
categorical__mental_status_triage_drowsy,25
numeric__low_gcs,24
categorical__triage_nurse_id_NURSE-0026,23
categorical__site_id_SITE-HEL-01,21
categorical__chief_complaint_system_psychiatric,21
numeric__hx_diabetes_type2,19
categorical__site_id_SITE-OUL-01,19
numeric__systolic_bp_missing,19
categorical__triage_nurse_id_NURSE-0010,19
numeric__very_low_gcs,19
categorical__arrival_day_Sunday,18
categorical__chief_complaint_system_endocrine,18
categorical__triage_nurse_id_NURSE-0022,16
categorical__triage_nurse_id_NURSE-0045,16
numeric__comorbidity_count,16
categorical__triage_nurse_id_NURSE-0014,16
numeric__hx_diabetes_type1,16
categorical__transport_origin_home,15
numeric__hx_coronary_artery_disease,15
categorical__pain_location_chest,15
numeric__severe_pain,13
categorical__language_Finnish,13
categorical__triage_nurse_id_NURSE-0002,13
numeric__hx_malignancy,13
categorical__triage_nurse_id_NURSE-0034,13
categorical__triage_nurse_id_NURSE-0027,13
numeric__hx_ckd,13
categorical__triage_nurse_id_NURSE-0044,12
numeric__hx_depression,12
categorical__site_id_SITE-TUR-01,12
categorical__arrival_day_Monday,11
numeric__hx_hypertension,11
numeric__hx_liver_disease,11
categorical__triage_nurse_id_NURSE-0039,11
categorical__arrival_mode_walk-in,11
categorical__shift_morning,11
numeric__pain_score_missing,11
categorical__transport_origin_nursing_home,10
categorical__triage_nurse_id_NURSE-0005,10
numeric__hx_immunosuppressed,10
categorical__triage_nurse_id_NURSE-0042,10
categorical__insurance_type_private,9
categorical__insurance_type_none,9
categorical__site_id_SITE-HEL-02,9
categorical__triage_nurse_id_NURSE-0023,9
categorical__triage_nurse_id_NURSE-0021,9
categorical__arrival_day_Wednesday,9
categorical__arrival_mode_brought_by_family,9
categorical__triage_nurse_id_NURSE-0006,9
numeric__hx_atrial_fibrillation,9
categorical__transport_origin_school,9
numeric__complaint_redflag_severe_headache,9
categorical__triage_nurse_id_NURSE-0016,9
numeric__high_news2,8
categorical__pain_location_head,8
categorical__shift_afternoon,8
categorical__language_Arabic,8
categorical__arrival_season_spring,8
categorical__language_Russian,8
categorical__insurance_type_public,8
categorical__sex_M,8
categorical__triage_nurse_id_NURSE-0048,8
categorical__triage_nurse_id_NURSE-0033,8
categorical__triage_nurse_id_NURSE-0032,8
categorical__triage_nurse_id_NURSE-0024,8
numeric__high_risk_history_flag,8
categorical__triage_nurse_id_NURSE-0031,8
categorical__triage_nurse_id_NURSE-0029,7
