feature,mean_abs_coef
complaint_text__mild,8.000162824367681
complaint_text__moderate,6.663741224400115
complaint_text__advice,5.893324890572282
complaint_text__significant,5.270750874774685
complaint_text__throat moderate,5.262411541376042
complaint_text__acute,5.25552224808806
complaint_text__mild hypoglycaemia,5.1624104501918335
complaint_text__review,4.5718499170461095
complaint_text__and,4.5024267897372585
complaint_text__moderate headache,4.494810821932914
complaint_text__question,4.348757892382183
complaint_text__suspected,4.266571447744708
complaint_text__severe,3.967359645693152
complaint_text__pain,3.9387640881140404
complaint_text__mild sore,3.917769050723295
complaint_text__prescription,3.9146250196705354
complaint_text__haemorrhage,3.900198378971344
complaint_text__thyroid,3.821820418116078
complaint_text__hypothermia moderate,3.76450485091184
complaint_text__referral,3.7398267951685398
complaint_text__minor,3.737754032071225
complaint_text__removal,3.7183569339148392
complaint_text__conjunctivitis,3.6986039402827204
complaint_text__blood,3.695817687198576
complaint_text__request,3.659303185857943
complaint_text__haematuria significant,3.636434807133834
complaint_text__haematuria,3.636434807133834
complaint_text__thyroid medication,3.5609774745940426
complaint_text__query,3.5547377648327028
complaint_text__sinusitis severe,3.5216133114131636
complaint_text__sinusitis,3.5216133114131636
complaint_text__localised,3.453496107057407
complaint_text__abrasion,3.4093160622964036
complaint_text__moderate low,3.406659036797077
complaint_text__tonsillitis,3.390457651917022
complaint_text__shock,3.3836237408188103
complaint_text__infected,3.3626894935505853
complaint_text__dehydration moderate,3.309641478983567
complaint_text__insomnia,3.2651452512892334
complaint_text__insomnia severe,3.2651452512892334
complaint_text__urosepsis,3.2556841466657267
complaint_text__headache,3.2532590232038743
complaint_text__throat irritation,3.247889994646227
complaint_text__uncomplicated,3.2152199044400573
complaint_text__uncomplicated uti,3.2152199044400573
complaint_text__fracture,3.187671473154219
complaint_text__new,3.1804418433163812
complaint_text__wound infection,3.177832476462972
complaint_text__rapidly spreading,3.15839448280093
complaint_text__rapidly,3.15839448280093
complaint_text__stable,3.132724667700026
complaint_text__stable palpitations,3.031337861164194
complaint_text__features,3.024061368900796
complaint_text__minor abrasion,3.013998459627934
complaint_text__diabetes review,3.0040405539390114
complaint_text__meningitis,2.9935802051084637
complaint_text__cellulitis localised,2.964962288931942
complaint_text__fatigue,2.949882216666159
complaint_text__symptoms,2.9429906374884447
complaint_text__nasal congestion,2.8996405152776243
complaint_text__congestion,2.8996405152776243
complaint_text__nasal,2.8996405152776243
complaint_text__minor skin,2.8869299293378154
complaint_text__ear,2.866442579396432
complaint_text__flare,2.857545042419432
complaint_text__dyspepsia worsening,2.838615018798644
complaint_text__dyspepsia,2.838615018798644
complaint_text__positional dizziness,2.836141906585697
complaint_text__positional,2.836141906585697
complaint_text__torsion,2.7942547997179625
complaint_text__sunburn,2.7941748743522785
complaint_text__minor sunburn,2.7941748743522785
complaint_text__massive,2.7768979790903283
complaint_text__vitals,2.758380751650521
complaint_text__hypoglycaemia resolved,2.756998753361452
complaint_text__dka moderate,2.748618373554529
complaint_text__dka,2.748618373554529
complaint_text__body,2.7313244597263293
complaint_text__foreign body,2.7313244597263293
complaint_text__foreign,2.7313244597263293
complaint_text__mood,2.7110565412182708
complaint_text__low mood,2.7110565412182708
complaint_text__mild dyspnoea,2.6891163214610456
complaint_text__nose mild,2.687151091430061
complaint_text__management,2.6777934166455903
complaint_text__management question,2.6777934166455903
complaint_text__diabetes management,2.6777934166455903
complaint_text__symptomatic severe,2.675745634632177
complaint_text__severe dehydration,2.669753193852181
complaint_text__spreading wound,2.651818353368096
complaint_text__controlled,2.6510200381759788
complaint_text__pyelonephritis,2.6421757837167434
complaint_text__pyelonephritis with,2.6421757837167434
complaint_text__overdose,2.6415573486959483
complaint_text__laceration,2.6330222280468574
complaint_text__with,2.6315562720007883
complaint_text__infected wound,2.625221923170082
complaint_text__corneal,2.613199116361114
complaint_text__corneal abrasion,2.613199116361114
complaint_text__urinary,2.5972563089630647
complaint_text__open,2.5716668821569355
complaint_text__after,2.557662606295685
complaint_text__new onset,2.5561222310472584
complaint_text__with haemorrhage,2.55506426663137
complaint_text__severe hypothermia,2.554675178992729
complaint_text__stress reaction,2.5542722011190246
complaint_text__stress,2.5542722011190246
complaint_text__acute stress,2.5542722011190246
complaint_text__unclear,2.552922779852858
complaint_text__medication review,2.5506964145354014
complaint_text__mild nausea,2.535084719064993
complaint_text__nausea resolved,2.535084719064993
complaint_text__dyspnoea,2.5320868722061407
complaint_text__small infected,2.5313071375644007
complaint_text__now,2.5270278495498126
complaint_text__now resolved,2.5270278495498126
complaint_text__chest pain,2.50366815676023
complaint_text__chest,2.486026084573727
complaint_text__high,2.480628216830618
complaint_text__mild dehydration,2.4794241506717483
complaint_text__moderate epistaxis,2.472075813351251
complaint_text__contact,2.4553270435739907
complaint_text__health,2.4542374907277726
complaint_text__mild bloating,2.4470331459474
complaint_text__bloating,2.4470331459474
complaint_text__ear pain,2.4406968660589157
complaint_text__cellulitis,2.4362187071944836
complaint_text__electrolyte,2.4177325999775956
complaint_text__near,2.4150592857143014
complaint_text__vertigo,2.413743648719911
complaint_text__vertigo with,2.413743648719911
complaint_text__acute vertigo,2.413743648719911
complaint_text__insect,2.41286255170892
complaint_text__local,2.41286255170892
complaint_text__local reaction,2.41286255170892
complaint_text__dengue,2.4101198684740623
complaint_text__dengue fever,2.4101198684740623
complaint_text__suspected dengue,2.4101198684740623
complaint_text__cellulitis with,2.4000883319213306
complaint_text__abdomen,2.399710284569041
complaint_text__mental,2.3978842535750924
complaint_text__thunderclap headache,2.3970666228107316
complaint_text__thunderclap,2.3970666228107316
complaint_text__administrative,2.389299091086204
complaint_text__administrative query,2.389299091086204
complaint_text__substance,2.3841775818972017
complaint_text__muscle strain,2.378767308966888
complaint_text__strain,2.378767308966888
complaint_text__hyperglycaemic crisis,2.363607477089938
complaint_text__superficial laceration,2.3497654907939665
complaint_text__superficial,2.3497654907939665
complaint_text__with shock,2.346620331206866
complaint_text__uti symptoms,2.3409118410414576
complaint_text__appendicitis,2.338419415786714
complaint_text__appendicitis clinically,2.338419415786714
complaint_text__acute severe,2.3335557218654333
complaint_text__genital discharge,2.3146126965113876
complaint_text__discharge,2.3146126965113876
complaint_text__genital,2.3146126965113876
complaint_text__orbital cellulitis,2.3082280122454413
complaint_text__intoxication,2.297070078342466
complaint_text__substance intoxication,2.297070078342466
complaint_text__check elderly,2.294025339850187
complaint_text__routine check,2.294025339850187
complaint_text__elderly,2.2657334175829527
complaint_text__with renal,2.2581936996210845
complaint_text__renal failure,2.2581936996210845
complaint_text__abdominal,2.2428851714978117
complaint_text__medication,2.2421245718175817
complaint_text__upper,2.222413257580902
complaint_text__residual dizziness,2.2223814940439404
complaint_text__residual,2.2223814940439404
complaint_text__mild residual,2.2223814940439404
complaint_text__mild dysuria,2.21689659210272
complaint_text__ibs follow,2.2147701960005506
complaint_text__ibs,2.2147701960005506
complaint_text__injury,2.213437821736469
complaint_text__paraesthesia,2.212225657805063
complaint_text__hand paraesthesia,2.212225657805063
complaint_text__hand,2.212225657805063
complaint_text__significant blunt,2.211246507205283
complaint_text__painful eye,2.1996198863450074
complaint_text__painful,2.1996198863450074
complaint_text__red,2.1996198863450074
complaint_text__red painful,2.1996198863450074
complaint_text__unresponsive,2.1957755566355868
complaint_text__uti,2.1943129387315103
complaint_text__respiratory,2.187953870140624
complaint_text__renal,2.186536517261136
complaint_text__paperwork,2.1814277872774688
complaint_text__cardiology paperwork,2.1814277872774688
complaint_text__cardiology,2.1814277872774688
complaint_text__sepsis,2.1754658332785013
complaint_text__with injury,2.1704334998441035
complaint_text__injury unclear,2.1704334998441035
complaint_text__check,2.1572964253737696
complaint_text__with dysphagia,2.1570116994465502
complaint_text__severe tonsillitis,2.1570116994465502
complaint_text__dysphagia,2.1570116994465502
complaint_text__throat,2.1543531262333975
complaint_text__social,2.1495197427421067
complaint_text__social admission,2.1495197427421067
complaint_text__admission,2.1495197427421067
complaint_text__admission query,2.1495197427421067
complaint_text__known,2.1454622324293626
complaint_text__peripheral,2.1436632538860096
complaint_text__peripheral oedema,2.1436632538860096
complaint_text__oedema worsening,2.1436632538860096
complaint_text__oedema,2.1436632538860096
complaint_text__facial,2.143175773023918
complaint_text__with systemic,2.1355388962995567
complaint_text__systemic,2.1355388962995567
complaint_text__mild itchy,2.133379368120472
complaint_text__eyes,2.133379368120472
complaint_text__itchy eyes,2.133379368120472
complaint_text__itchy,2.133379368120472
complaint_text__shoulder,2.1195323534855035
complaint_text__spreading cellulitis,2.1190807231536883
complaint_text__shingles with,2.1159356779937246
complaint_text__shingles,2.1159356779937246
complaint_text__with pain,2.1159356779937246
complaint_text__ground vomiting,2.1094743072232007
complaint_text__coffee,2.1094743072232007
complaint_text__coffee ground,2.1094743072232007
complaint_text__retinal detachment,2.107655621256291
complaint_text__detachment,2.107655621256291
complaint_text__bloody diarrhoea,2.1041057804074166
complaint_text__non bloody,2.1041057804074166
complaint_text__diarrhoea,2.1041057804074166
complaint_text__bloody,2.1041057804074166
complaint_text__recurrence,2.0984831043873053
complaint_text__known migraine,2.0984831043873053
complaint_text__migraine recurrence,2.0984831043873053
complaint_text__blocked,2.097111430415212
complaint_text__blocked ear,2.097111430415212
complaint_text__dysuria,2.0918034835667267
complaint_text__eye irritation,2.085957688216845
complaint_text__mild eye,2.085957688216845
complaint_text__suspected rib,2.0743011887117833
complaint_text__rib,2.0743011887117833
complaint_text__rib fracture,2.0743011887117833
complaint_text__resolved,2.062056163389392
complaint_text__meningitis clinically,2.061273764331127
complaint_text__hypothyroid,2.055624589482029
complaint_text__hypothyroid coma,2.055624589482029
complaint_text__large,2.0554412713971493
complaint_text__large pulmonary,2.0554412713971493
complaint_text__moderate large,2.0554412713971493
complaint_text__spreading,2.050398702214339
complaint_text__ongoing seizure,2.0499412949301354
complaint_text__seizure,2.0499412949301354
complaint_text__routine,2.049557984231041
complaint_text__near drowning,2.0378188151923107
complaint_text__drowning,2.0378188151923107
complaint_text__features query,2.036798894130498
complaint_text__cushing features,2.036798894130498
complaint_text__cushing,2.036798894130498
complaint_text__severe migraine,2.0283243399910793
complaint_text__with photophobia,2.0283243399910793
complaint_text__migraine with,2.0283243399910793
