metric,value
train_processed_rows,80000
train_processed_columns,108
test_processed_rows,20000
test_processed_columns,107
feature_columns_equal_excluding_target,True
target_column,triage_acuity
patient_id_preserved_for_alignment,True
leakage_columns_excluded,True
redflag_feature_count,8
train_sum__pain_score_invalid,11156
test_sum__pain_score_invalid,2913
train_sum__gcs_total_invalid,0
test_sum__gcs_total_invalid,0
train_sum__spo2_invalid,0
test_sum__spo2_invalid,0
train_sum__temperature_c_invalid,0
test_sum__temperature_c_invalid,0
train_sum__heart_rate_invalid,0
test_sum__heart_rate_invalid,0
train_sum__respiratory_rate_invalid,0
test_sum__respiratory_rate_invalid,0
train_sum__systolic_bp_invalid,0
test_sum__systolic_bp_invalid,0
train_sum__diastolic_bp_invalid,0
test_sum__diastolic_bp_invalid,0
train_sum__bp_inconsistent,2087
test_sum__bp_inconsistent,551
